fold,strategy,model,position_strategy,trading_method,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Spot Day Trading,VMD_Hybrid,fixed_80,spot_day_trading,,,,,54.35693783299658,148.83125166643447,-1.2899121368447055,1543569.3783299658,55.646849969841284,18,0.7777777777777778,14.800130101538874,83279.72748189628,19694.35702165414,60396.5975922184,60396.59759221841,0.0946158268137749,31,3.0872395106649777,5.155212747580655,15.730058773292512,1.8363761713579752,5.7450153598491704,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_80,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,fixed_80,futures_day_trading,,,,,158.82036538509445,636.7102911011117,103.17351541525316,2588203.6538509447,55.646849969841284,120,0.5083333333333333,1.247642643703159,131171.99821132605,108699.80062779569,13235.030448757885,13235.030448757854,0.3448110352357542,43,2.3092340597597825,4.156345481852149,18.465484744877152,1.4598219432614987,4.606011674670036,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_80,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,kelly,spot_day_trading,,,,,5.994759088334156,13.004886495400259,-49.65209088150713,1059947.5908833416,55.646849969841284,18,0.7777777777777778,18.689805974943635,9048.058880125118,1694.4106387671272,6660.843431482397,6660.843431482397,0.012188928586449597,31,2.9820207948840864,4.8362166097445645,10.66942545701495,1.8012484531107567,4.918200189472372,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,kelly,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,kelly,futures_day_trading,,,,,24.015161178616395,57.14372451927871,-31.63168879122489,1240151.6117861639,55.646849969841284,120,0.5083333333333333,1.2683619890524582,18607.065525087324,15167.447207528176,2001.2634315513726,2001.2634315513687,0.09889373537512693,45,1.6172966057677558,2.7078862820366236,5.778295693101215,1.3140170286159403,2.4283804315330286,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,kelly,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,confidence_based,spot_day_trading,,,,,3.065660541965065,6.546547378814105,-52.58118942787622,1030656.6054196506,55.646849969841284,18,0.7777777777777778,32.00368917755736,4520.772928807832,494.40254100215134,3406.28949107228,3406.28949107228,0.005595970837069493,31,2.9725266766920315,4.327619597467506,11.698680299489215,1.9607865914187101,5.478335451030487,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,confidence_based,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
