fold,strategy,model,position_strategy,trading_method,confidence_threshold,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.0,,,,,4.106053844688606,8.817706455115616,-95.26031189613833,1041060.538446886,99.36636574082694,7,1.0,16498.37180213315,5499.4572673777175,0.0,5499.4572673777175,5499.4572673777175,0.004909273076832782,22,3.910507060122116,6.719090486684438,17.961328117449845,2.1341437114767015,8.363873389046878,3,0,0.058333333333333334,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.1,,,,,3.7794701021690136,8.102078077227759,-95.58689563865792,1037794.70102169,99.36636574082694,1,0.0,0.0,0.0,0.0,0.0,0.0,0.010402210663277924,31,2.9495615183236192,5.17661920330856,7.788804072032366,1.692415786616064,3.633333552368208,0,0,0.008333333333333333,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.4,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_05,spot_day_trading,0.5,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_10,spot_day_trading,0.0,,,,,8.310652424997333,18.25226309195438,-91.0557133158296,1083106.5242499732,99.36636574082694,7,1.0,33176.20122751278,11058.733742504259,0.0,11058.733742504259,11058.733742504259,0.009749435271901849,22,3.910449786137846,6.717892991631101,18.721354194286434,2.135150385425859,8.52423980797007,3,0,0.058333333333333334,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_10,spot_day_trading,0.1,,,,,7.558940204338005,16.53534876014737,-91.80742553648894,1075589.40204338,99.36636574082694,1,0.0,0.0,0.0,0.0,0.0,0.0,0.020421760400431033,31,2.9450612089803103,5.169476064576441,8.096926237464997,1.6915903382913795,3.7014145970385903,0,0,0.008333333333333333,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_10,spot_day_trading,0.2,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
3,Spot Day Trading,Hybrid_LSTM_GRU,fixed_10,spot_day_trading,0.3,,,,,0.0,0.0,-99.36636574082694,1000000.0,99.36636574082694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
