model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
LightGBM,0.05,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,14480.761309564099,4480.761309564099,44.80761309564099,19.735474832337772,419,243,176,57.995226730310264,10.693941072945313,39.839289750129645,29.5465119302126,10.693941072945314,1.8616540299985753,-306.5761066409068,2.7992954845181828,3.172393823010056,5.116495992292781,7.050157777729084,14.61549420357283,7,5,518,2.0555555555555554,True,4.090664262871278,5.161852887598416e-05,True,True,0.0004643855252345483,0.0013235085041643751,
LightGBM,0.1,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,12294.110883740204,2294.1108837402044,22.941108837402044,10.56977849932721,350,199,151,56.85714285714286,6.554602524972009,29.94787081951523,24.274936485717408,6.55460252497201,1.625863112699665,-255.1633022901533,2.1763733415160202,2.554517412700316,3.7366954910896757,4.856601713364355,8.990755579466153,7,5,518,2.0555555555555554,True,3.0105276419658464,0.0027978663793240626,True,True,0.00020702145408062742,0.0009872260934489984,
LightGBM,0.15,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,13017.771229782436,3017.7712297824364,30.177712297824367,13.689544164217015,258,150,108,58.139534883720934,11.696787712334963,42.10393437948111,30.535360436479127,11.696787712334967,1.9150809357504006,-278.450676813527,2.2239359698143266,3.5276490378851446,5.743716927234678,6.1555477990492395,10.837722731783407,9,4,518,2.0555555555555554,True,3.5693978169698903,0.00042686022294523117,True,True,0.0004633069830786437,0.0016036445749080972,
LightGBM,0.2,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,14587.2111519696,4587.211151969601,45.872111519696006,20.16287018713534,176,111,65,63.06818181818182,26.063699727099944,59.3703744929186,30.813852565298077,26.06369972709994,3.290284186682579,-222.76934524316312,1.747601657310031,5.492511506515095,11.957958097150836,11.537451971847364,20.591752186381147,9,3,518,2.0555555555555554,True,4.590151701620134,8.427547995705333e-06,True,True,0.001235167907420271,0.0030985015335519028,
LogisticRegression,0.0,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,11505.781956811865,1505.7819568118648,15.057819568118646,7.061883305087435,518,269,249,51.930501930501926,2.9069149745402476,17.221922902740637,12.55789278725054,2.9069149745402436,1.4815550823757213,-579.6657451023893,4.805226245588166,1.4861194853367825,2.367990068574902,1.4696255585408031,2.597672830479039,8,10,518,2.0555555555555554,True,2.130680533092831,0.03358676390441503,True,False,2.1447994508776017e-05,0.0005287510085342812,
LogisticRegression,0.05,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,11544.072579903745,1544.0725799037446,15.440725799037446,7.235068724066895,134,80,54,59.70149253731343,11.522929700774197,38.72852881669493,28.78166158207134,11.522929700774192,1.9934776205796207,-260.27713409428,2.246807033369975,3.3393016847665553,6.3931489470996175,3.2201558107173325,5.932417326158341,9,4,518,2.0555555555555554,True,2.4350494514490273,0.016215037068523404,True,False,0.00020370801239279603,0.0019667225417809514,
LogisticRegression,0.1,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,11769.417065695396,1769.4170656953956,17.694170656953958,8.248360772469221,95,60,35,63.1578947368421,18.625442796793642,48.073401476481386,31.85677208267105,18.625442796793646,2.586939605004198,-257.1696807139979,2.140041789088089,4.866728502362873,8.801843630912149,3.8542989274915036,6.880348650676243,9,3,518,2.0555555555555554,True,2.9881242457279096,0.0035808936890878874,True,False,0.0005811693442812533,0.002883033360987745,
LogisticRegression,0.15,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,11402.383524331543,1402.3835243315425,14.023835243315425,6.592736284044065,61,40,21,65.57377049180327,22.98989384150065,46.81251320077088,22.386523985680743,22.989893841500646,3.9830521195709747,-100.57948675170701,0.9317101941575928,7.055478124318085,17.093339303042846,7.075951648253562,13.943037190013714,9,4,518,2.0555555555555554,True,3.471291595155554,0.0009662712808540611,True,True,0.0009175884533260859,0.0034131125244770007,
LogisticRegression,0.2,518,56.56370656370656,2022-10-10,2025-10-05,10000.0,10880.802141222342,880.8021412223425,8.808021412223423,4.192159361909087,48,31,17,64.58333333333334,18.350044608798783,40.03371840231533,21.190772308790212,18.350044608798793,3.445021347270363,-95.84684066241789,0.9051253113561034,6.136806475823175,13.609353383677995,4.631578975101455,9.189683615390258,7,3,518,2.0555555555555554,True,2.6783219238814175,0.010162422506573912,True,False,0.00044061634543802975,0.0031001737217158046,
MLP,0.0,518,62.74131274131274,2022-10-10,2025-10-05,10000.0,12546.675623190366,2546.6756231903655,25.466756231903652,11.669061577653107,518,295,223,56.94980694980695,4.916362206931202,25.702451296791327,22.58093053526044,4.916362206931204,1.505739568230681,-273.8028674982379,2.4460214081841043,1.9502580813371533,2.5174161390583487,4.770629373320192,9.301128386490529,9,5,518,2.0555555555555554,True,2.7961257283901113,0.005364416094319028,True,False,0.0001322238986575834,0.0007569806667311453,
