Model,FPR,TPR,Threshold,AUC
AdaBoost,0.3828125,0.674074074074074,0.45105211463458594,0.6672164351851851
AdaBoost,0.390625,0.674074074074074,0.4437199965168051,0.6672164351851851
AdaBoost,0.40625,0.674074074074074,0.44312902767593665,0.6672164351851851
AdaBoost,0.40625,0.6814814814814815,0.4422278625390739,0.6672164351851851
AdaBoost,0.4140625,0.6814814814814815,0.4399196308658028,0.6672164351851851
AdaBoost,0.4140625,0.6888888888888889,0.4398566065610454,0.6672164351851851
AdaBoost,0.421875,0.6888888888888889,0.4353035902095412,0.6672164351851851
AdaBoost,0.421875,0.6962962962962963,0.4352407133078638,0.6672164351851851
AdaBoost,0.4296875,0.7037037037037037,0.4349469152537429,0.6672164351851851
AdaBoost,0.4375,0.7037037037037037,0.43186495720882123,0.6672164351851851
AdaBoost,0.4375,0.725925925925926,0.4207119896193942,0.6672164351851851
AdaBoost,0.4453125,0.725925925925926,0.41614774293508405,0.6672164351851851
AdaBoost,0.453125,0.7333333333333333,0.4128118292003948,0.6672164351851851
AdaBoost,0.46875,0.7481481481481481,0.4095986180366069,0.6672164351851851
AdaBoost,0.46875,0.7555555555555555,0.4089496885003676,0.6672164351851851
AdaBoost,0.46875,0.7703703703703704,0.403408626609393,0.6672164351851851
AdaBoost,0.484375,0.7703703703703704,0.3952368107716039,0.6672164351851851
AdaBoost,0.5,0.8074074074074075,0.392593782413378,0.6672164351851851
AdaBoost,0.5078125,0.8074074074074075,0.3919972747362168,0.6672164351851851
AdaBoost,0.5078125,0.8222222222222222,0.39085202688055876,0.6672164351851851
AdaBoost,0.515625,0.8222222222222222,0.3902131678784745,0.6672164351851851
AdaBoost,0.515625,0.837037037037037,0.38476071235775683,0.6672164351851851
AdaBoost,0.5234375,0.837037037037037,0.38177487062836774,0.6672164351851851
AdaBoost,0.5703125,0.8592592592592593,0.3741322821675882,0.6672164351851851
AdaBoost,0.578125,0.8592592592592593,0.37150238655564033,0.6672164351851851
AdaBoost,0.625,0.8814814814814815,0.37108959833683525,0.6672164351851851
AdaBoost,0.703125,0.9185185185185185,0.3710299024672217,0.6672164351851851
AdaBoost,0.7109375,0.9185185185185185,0.37027590169904523,0.6672164351851851
AdaBoost,0.7109375,0.9259259259259259,0.37009733306415127,0.6672164351851851
AdaBoost,0.71875,0.9259259259259259,0.3687258573545942,0.6672164351851851
AdaBoost,0.71875,0.9333333333333333,0.36638595255605383,0.6672164351851851
AdaBoost,0.75,0.9333333333333333,0.3591501944563678,0.6672164351851851
AdaBoost,0.765625,0.9333333333333333,0.35664520777642905,0.6672164351851851
AdaBoost,0.8203125,0.9481481481481482,0.35299313002702615,0.6672164351851851
AdaBoost,0.8359375,0.9481481481481482,0.3509544482688009,0.6672164351851851
AdaBoost,0.8515625,0.9481481481481482,0.3477224620334204,0.6672164351851851
AdaBoost,0.8515625,0.9555555555555556,0.3444460045783163,0.6672164351851851
AdaBoost,0.859375,0.9629629629629629,0.3423414431679894,0.6672164351851851
AdaBoost,0.859375,0.9777777777777777,0.3345519838827367,0.6672164351851851
AdaBoost,0.8828125,0.9777777777777777,0.33062015229034514,0.6672164351851851
AdaBoost,0.8984375,0.9851851851851852,0.3287518321565944,0.6672164351851851
AdaBoost,0.90625,0.9851851851851852,0.32471569625062147,0.6672164351851851
AdaBoost,0.90625,0.9925925925925926,0.3247058381079782,0.6672164351851851
AdaBoost,0.9140625,0.9925925925925926,0.3201257136884963,0.6672164351851851
AdaBoost,0.9296875,0.9925925925925926,0.3184094605017322,0.6672164351851851
AdaBoost,0.9375,0.9925925925925926,0.31333186058381113,0.6672164351851851
AdaBoost,0.9375,1.0,0.3128672732873832,0.6672164351851851
